"Notes"	"Underlying Cause of death"	"Underlying Cause of death Code"	"State"	"State Code"	"County"	"County Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Medical Facility - Outpatient or ER"	"2"	16	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Decedent's home"	"4"	81	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Other"	"7"	30	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Medical Facility - Inpatient"	"1"	19	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"California"	"06"	"Orange County, CA"	"06059"	"Medical Facility - Inpatient"	"1"	13	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"California"	"06"	"Riverside County, CA"	"06065"	"Medical Facility - Inpatient"	"1"	18	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"California"	"06"	"San Bernardino County, CA"	"06071"	"Medical Facility - Inpatient"	"1"	15	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"California"	"06"	"San Bernardino County, CA"	"06071"	"Medical Facility - Outpatient or ER"	"2"	26	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"California"	"06"	"San Bernardino County, CA"	"06071"	"Decedent's home"	"4"	47	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"California"	"06"	"San Bernardino County, CA"	"06071"	"Other"	"7"	15	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"California"	"06"	"San Diego County, CA"	"06073"	"Medical Facility - Inpatient"	"1"	37	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Florida"	"12"	"Charlotte County, FL"	"12015"	"Decedent's home"	"4"	24	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Illinois"	"17"	"Cook County, IL"	"17031"	"Medical Facility - Inpatient"	"1"	12	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Indiana"	"18"	"Clark County, IN"	"18019"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"Medical Facility - Inpatient"	"1"	21	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Michigan"	"26"	"Macomb County, MI"	"26099"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Michigan"	"26"	"Macomb County, MI"	"26099"	"Other"	"7"	23	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Michigan"	"26"	"Oakland County, MI"	"26125"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Inpatient"	"1"	26	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Outpatient or ER"	"2"	83	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Dead on Arrival"	"3"	29	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Decedent's home"	"4"	183	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Other"	"7"	86	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	"Medical Facility - Inpatient"	"1"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	"Medical Facility - Outpatient or ER"	"2"	12	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	"Decedent's home"	"4"	32	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New Jersey"	"34"	"Union County, NJ"	"34039"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New York"	"36"	"Bronx County, NY"	"36005"	"Medical Facility - Inpatient"	"1"	36	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New York"	"36"	"Bronx County, NY"	"36005"	"Medical Facility - Outpatient or ER"	"2"	18	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New York"	"36"	"Bronx County, NY"	"36005"	"Decedent's home"	"4"	79	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New York"	"36"	"Kings County, NY"	"36047"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New York"	"36"	"New York County, NY"	"36061"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New York"	"36"	"New York County, NY"	"36061"	"Decedent's home"	"4"	27	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New York"	"36"	"Queens County, NY"	"36081"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"New York"	"36"	"Suffolk County, NY"	"36103"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Ohio"	"39"	"Butler County, OH"	"39017"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Decedent's home"	"4"	47	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Other"	"7"	18	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Texas"	"48"	"Bexar County, TX"	"48029"	"Decedent's home"	"4"	27	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Texas"	"48"	"Bexar County, TX"	"48029"	"Other"	"7"	14	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Texas"	"48"	"Dallas County, TX"	"48113"	"Medical Facility - Inpatient"	"1"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Florida"	"12"	"Bay County, FL"	"12005"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Decedent's home"	"4"	53	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Other"	"7"	22	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Decedent's home"	"4"	27	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Medical Facility - Inpatient"	"1"	25	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Medical Facility - Outpatient or ER"	"2"	43	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Decedent's home"	"4"	72	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Other"	"7"	69	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"California"	"06"	"San Diego County, CA"	"06073"	"Medical Facility - Inpatient"	"1"	11	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Inpatient"	"1"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Outpatient or ER"	"2"	29	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Decedent's home"	"4"	61	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Ohio"	"39"	"Franklin County, OH"	"39049"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Ohio"	"39"	"Summit County, OH"	"39153"	"Decedent's home"	"4"	23	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Ohio"	"39"	"Summit County, OH"	"39153"	"Other"	"7"	15	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"Washington"	"53"	"Whatcom County, WA"	"53073"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	"Michigan"	"26"	"Macomb County, MI"	"26099"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Inpatient"	"1"	20	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Outpatient or ER"	"2"	60	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Dead on Arrival"	"3"	22	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Decedent's home"	"4"	102	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Other"	"7"	92	Not Applicable	Not Applicable
