COUNTIES,PERSC RATE,FIP
LOS ANGELES CA,2750715.318,06037
MARICOPA AZ,2179911.204,04013
HARRIS TX,1786350.175,48201
COOK IL,1673825.725,17031
CLARK NV,1205892.3800000001,32003
WAYNE MI,1135323.607,26163
TARRANT TX,1129050.5550000002,48439
ORANGE CA,1073383.896,06059
DALLAS TX,1062112.9479999999,48113
SAN DIEGO CA,998160.67,06073
RIVERSIDE CA,983277.3079999998,06065
SAN BERNARDINO CA,906915.36,06071
BEXAR TX,883567.314,48029
KING WA,806495.9559999999,53033
HILLSBOROUGH FL,774255.1680000001,12057
BROWARD FL,761583.4199999999,12011
PALM BEACH FL,722939.91,12099
PHILADELPHIA PA,700156.2880000001,42101
OAKLAND MI,687898.4480000001,26125
DUVAL FL,679048.295,12031
OKLAHOMA OK,674629.164,40109
FRANKLIN OH,659694.7559999999,39049
PINELLAS FL,655197.3119999999,12103
MIAMI-DADE FL,654782.54,12086
SALT LAKE UT,645202.9720000001,49035
TULSA OK,639172.512,40143
MACOMB MI,638873.5319999999,26099
JEFFERSON AL,630912.9339999999,01073
SUFFOLK NY,618695.819,36103
ALLEGHENY PA,610454.5900000001,42003
SACRAMENTO CA,592886.1560000001,06067
PIMA AZ,591712.635,04019
MARION IN,546917.9940000001,18097
JEFFERSON KY,535196.3859999999,21111
SHELBY TN,512629.802,47157
MILWAUKEE WI,505017.684,55079
TRAVIS TX,503211.83,48453
ORANGE FL,501642.72000000003,12095
ERIE NY,488749.46400000004,36029
NEW YORK NY,485354.388,36061
CUYAHOGA OH,482913.152,39035
FRESNO CA,482565.783,06019
COLLIN TX,469767.4199999999,48085
KINGS NY,465902.34599999996,36047
WAKE NC,456933.77100000007,37183
PIERCE WA,450680.0399999999,53053
BREVARD FL,446640.96400000004,12009
MOBILE AL,444613.96,01097
MECKLENBURG NC,443032.04399999994,37119
BALTIMORE MD,440160.8400000001,24005
NASSAU NY,438286.45199999993,36059
SEDGWICK KS,437603.616,20173
KERN CA,436597.97000000003,06029
HAMILTON OH,429990.798,39061
POLK FL,426168.876,12105
SNOHOMISH WA,425016.911,53061
DENTON TX,424972.153,48121
LEE FL,424587.927,12071
JACKSON MO,423915.633,29095
DAVIDSON TN,420651.26399999997,47037
QUEENS NY,419217.58800000005,36081
NEW HAVEN CT,415411.902,09009
MIDDLESEX MA,409371.546,25017
FULTON GA,407487.871,13121
PASCO FL,394410.264,12101
HARTFORD CT,386114.76,09003
